Label,att,scale,dimen,Degree,Weighted Degree,Eccentricity,closnesscentrality,betweenesscentrality
Lack of sufficient and varied job opportunities,Factors,Micro,Economic,7,28,4,0.409091,91.380581
Understanding local needs more detailed,Policy,Micro,Social,9,24.99,5,0.455696,152.800864
Improvement of transportation options,Policy,Meso,Economic,8,24.48,5,0.413793,88.319317
Migration to city or district center,Factors,Meso,Social,7,20.44,5,0.418605,85.028321
Using new digital solutions and providing distributed services.,Policy,Meso,Social,7,18.33,5,0.404494,58.652612
"Alternating public transportation options for to access health care, cultural and education  services",Policy,Micro,Economic,6,18,5,0.342857,33.714484
Insufficient or infrequent public transport facilities,Factors,Micro,Economic,5,17.5,4,0.4,26.227659
Dif. Acc. Cultural services,Factors,Micro,Social,6,16.5,4,0.409091,36.821023
Improvement of Rural Development Policy,Policy,Macro,Social,7,15.54,4,0.395604,98.594674
Inadequate regional investments,Factors,Macro,Economic,5,14.6,5,0.375,38.153771
Difficulty of access to the healthcare services in villages,Factors,Micro,Social,5,14.15,4,0.4,25.891046
Sparse or insufficient regional rail /public transport network,Factors,Macro,Economic,4,13.24,5,0.367347,26.527382
Lack of adequate and varied transport connections,Factors,Meso,Economic,4,13,5,0.36,31.922415
Improvement of Broadband Internet access,Policy,Micro,Economic,4,12.75,5,0.349515,13.369754
Dif.Acc. Education serv.,Factors,Micro,Social,5,12.5,4,0.382979,19.096252
Empowerment of the regional transportation connections,Policy,Macro,Economic,4,12.15,5,0.324324,21.117818
Supporting regional investment networks and evenly developed regions,Policy,Macro,Economic,4,11.82,6,0.330275,25.23176
Empowerment of Public transport  facilities,Policy,Micro,Economic,4,11.58,5,0.307692,2.196113
Supporting varied job opportunities  for the local producers or new comers.,Policy,Micro,Economic,3,10.17,5,0.371134,19.554972
Empowered coordination between local and regional level administrations and institutions,Policy,Meso,Social,4,9.53,5,0.363636,25.638186
Aging,Factors,Micro,Social,3,9.51,5,0.346154,37.462634
Inadequate public services or difficult access to the district,Factors,Meso,Social,3,9,5,0.367347,14.027296
Using soil improvement techniques,Policy,Micro,Ecological,4,8.73,5,0.349515,34.130497
Creating varied job opp.  in rural areas,Policy,Meso,Economic,3,7.92,4,0.378947,20.217175
Depletion of natural resources,Factors,Micro,Ecological,4,7.64,6,0.352941,45.086166
Developing  economic projects;,Policy,Micro,Economic,2,6.92,5,0.349515,5.697673
Insufficient communication and internet access,Factors,Micro,Economic,2,6.66,5,0.346154,2.085692
Supporting organic agriculture for the protection of natural resources,Policy,Meso,Ecological,4,6.35,5,0.324324,26.127629
Regional use of renewable energy sources,Policy,Meso,Economic,2,5.9,5,0.307692,2.636471
Changes in Rural development Policies,Factors,Macro,Social,2,5.38,5,0.305085,2.106489
Lack of sufficient and diverse enterprises and industrial zones,Factors,Meso,Economic,2,5.34,6,0.268657,0.969098
Lack of coordination between the different level of administrations,Factors,Meso,Social,5,5,4,0.418605,77.24079
Soil quality,Factors,Micro,Ecological,4,4,5,0.346154,38.583824
"Occurrence of natural disasters (flood-landslide-earthquake-storm-fire, etc.)",Factors,Meso,Ecological,2,3.64,6,0.268657,1.422479
Destruction of Natural Resources,Factors,Macro,Ecological,2,3.24,5,0.305085,9.967082
Developing solutions for aging related problems,Policy,Micro,Social,1,3.17,6,0.258993,0
"Participative decision making process with local authorities, stakeholders and citizens",Policy,Micro,Social,1,1,5,0.297521,0
