questionId	question_text	node_label	node_type
1	Changes in rural development policies	Changes in rural development policies	Factor
2	Sparse or insufficient regional rail /public transport network	Sparse or insufficient regional rail /public transport network	Factor
3	Inadequate regional investments	Inadequate regional investments	Factor
4	Other_Lack of soil quality for agriculture	Lack of soil quality for agriculture	Factor
5	Migration to city or district centre	Migration to city or district centre	Factor
6	Inadequate public services or difficult access to the district	Inadequate public services or difficult access to the district	Factor
7	Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)	Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)	Factor
8	Inadequate educational services (schools, courses, kindergartens, etc.)	Inadequate educational services (schools, courses, kindergartens, etc.)	Factor
9	Lack of adequate and varied transport connections	Lack of adequate and varied transport connections	Factor
10	Lack of sufficient and diverse enterprises and industrial zones	Lack of sufficient and diverse enterprises and industrial zones	Factor
11	Aging	Aging	Factor
12	Difficulty of access to the health care services in villages	Difficulty of access to the health care services in villages	Factor
13	Difficulty of access to education services in villages	Difficulty of access to education services in villages	Factor
14	Insufficient attractiveness / perspective for young people	Insufficient attractiveness / perspective for young people	Factor
15	Other_Lack of knowledge about local needs	Lack of knowledge about local needs	Factor
16	Lack of sufficient and varied job opportunities	Lack of sufficient and varied job opportunities	Factor
17	Insufficient or infrequent public transport facilities	Insufficient or infrequent public transport facilities	Factor
18	Inadequate communication and internet access	Inadequate communication and internet access	Factor
19	Increasing and improving public transportation facilities	Increasing and improving public transportation facilities	Solutions
20	Improving education service opportunities	Improving education service opportunities	Solutions
21	Improving health care facilities	Improving health care facilities	Solutions
22	Regional use of renewable energy sources	Regional use of renewable energy sources	Solutions
23	Tourism promotion and infrastructure investments	Tourism promotion and infrastructure investments	Solutions
24	Broadband Internet access	Broadband Internet access	Solutions
25	Creation of a new generation of co-working spaces and production areas (3D printers)	Creation of a new generation of co-working spaces and production areas (3D printers)	Solutions
26	Consultation for digital literacy in the villages	Consultation for digital literacy in the villages	Solutions
27	Other_Establish research institutions (federal level) in rural areas (incubators)	Establish research institutions (federal level) in rural areas (incubators)	Solutions
28	Other_Promote ecological agriculture	Promote ecological agriculture	Solutions
29	Other_Promote intergenerational housing projects	Promote intergenerational housing projects	Solutions
