questionId	question_text	node_label	node_type	avg_score	std_score	weighted_degree
1	Changes in rural development policies	Changes in rural development policies	Factor	2.68	1.0	20.06
2	Sparse or insufficient regional rail /public transport network	Sparse or insufficient regional rail /public transport network	Factor	3.5	0.83	3.61
3	Inadequate regional investments	Inadequate regional investments	Factor	3.15	0.81	18.38
4	Other_Lack of soil quality for agriculture	Lack of soil quality for agriculture	Factor	3.0	0.0	3.0
5	Migration to city or district centre	Migration to city or district centre	Factor	2.52	1.23	30.56
6	Inadequate public services or difficult access to the district	Inadequate public services or difficult access to the district	Factor	2.79	0.88	3.25
7	Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)	Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)	Factor	2.48	1.05	5.56
8	Inadequate educational services (schools, courses, kindergartens, etc.)	Inadequate educational services (schools, courses, kindergartens, etc.)	Factor	2.52	1.0	8.13
9	Lack of adequate and varied transport connections	Lack of adequate and varied transport connections	Factor	3.44	0.82	3.58
10	Lack of sufficient and diverse enterprises and industrial zones	Lack of sufficient and diverse enterprises and industrial zones	Factor	2.96	0.89	11.95
11	Aging	Aging	Factor	3.24	0.93	21.79
12	Difficulty of access to the health care services in villages	Difficulty of access to the health care services in villages	Factor	2.88	0.85	9.05
13	Difficulty of access to education services in villages	Difficulty of access to education services in villages	Factor	2.52	1.04	8.47
14	Insufficient attractiveness / perspective for young people	Insufficient attractiveness / perspective for young people	Factor	2.48	0.9	21.89
15	Other_Lack of knowledge about local needs	Lack of knowledge about local needs	Factor	3.0	0.0	9.04
16	Lack of sufficient and varied job opportunities	Lack of sufficient and varied job opportunities	Factor	3.48	0.51	19.37
17	Insufficient or infrequent public transport facilities	Insufficient or infrequent public transport facilities	Factor	3.52	0.82	3.62
18	Inadequate communication and internet access	Inadequate communication and internet access	Factor	3.0	1.08	6.14
19	Increasing and improving public transportation facilities	Increasing and improving public transportation facilities	Solutions	3.72	0.54	26.8
20	Improving education service opportunities	Improving education service opportunities	Solutions	3.08	0.76	17.22
21	Improving health care facilities	Improving health care facilities	Solutions	3.16	0.75	14.8
22	Regional use of renewable energy sources	Regional use of renewable energy sources	Solutions	2.78	1.0	19.98
23	Tourism promotion and infrastructure investments	Tourism promotion and infrastructure investments	Solutions	2.79	0.93	14.29
24	Broadband Internet access	Broadband Internet access	Solutions	3.67	0.92	26.59
25	Creation of a new generation of co-working spaces and production areas (3D printers)	Creation of a new generation of co-working spaces and production areas (3D printers)	Solutions	2.62	0.92	27.61
26	Consultation for digital literacy in the villages	Consultation for digital literacy in the villages	Solutions	2.58	1.14	10.74
27	Other_Establish research institutions (federal level) in rural areas (incubators)	Establish research institutions (federal level) in rural areas (incubators)	Solutions	3.0	0.0	17.64
28	Other_Promote ecological agriculture	Promote ecological agriculture	Solutions	3.0	0.0	14.42
29	Other_Promote intergenerational housing projects	Promote intergenerational housing projects	Solutions	3.0	0.0	17.36
