questionId	question_text	node_label	node_type	avg_score	std_score	weighted_degree	rank
25	Creation of a new generation of co-working spaces and production areas (3D printers)	Creation of a new generation of co-working spaces and production areas (3D printers)	Solutions	2.62	0.92	27.61	1
19	Increasing and improving public transportation facilities	Increasing and improving public transportation facilities	Solutions	3.72	0.54	26.8	2
24	Broadband Internet access	Broadband Internet access	Solutions	3.67	0.92	26.59	3
22	Regional use of renewable energy sources	Regional use of renewable energy sources	Solutions	2.78	1.0	19.98	4
27	Other_Establish research institutions (federal level) in rural areas (incubators)	Establish research institutions (federal level) in rural areas (incubators)	Solutions	3.0	0.0	17.64	5
29	Other_Promote intergenerational housing projects	Promote intergenerational housing projects	Solutions	3.0	0.0	17.36	6
20	Improving education service opportunities	Improving education service opportunities	Solutions	3.08	0.76	17.22	7
21	Improving health care facilities	Improving health care facilities	Solutions	3.16	0.75	14.8	8
28	Other_Promote ecological agriculture	Promote ecological agriculture	Solutions	3.0	0.0	14.42	9
23	Tourism promotion and infrastructure investments	Tourism promotion and infrastructure investments	Solutions	2.79	0.93	14.29	10
26	Consultation for digital literacy in the villages	Consultation for digital literacy in the villages	Solutions	2.58	1.14	10.74	11
