Source,Target,Type,Id,Label,Weight
Improvement of Rural Development Policy,2.69 Changes in Rural development Policies,Undirected,0,,2.69
Improvement of Rural Development Policy,3.31 Sparse or insufficient regional rail /public transport network,Undirected,1,,3.31
Improvement of Rural Development Policy,2.92 Inadequate regional investments,Undirected,2,,2.92
Improvement of Rural Development Policy,1.62 Destruction of Natural Resources,Undirected,3,,1.62
Improvement of Rural Development Policy,3.0 Inadequate public services or difficult access to the district,Undirected,4,,3
Improvement of Rural Development Policy,Soil quality,Undirected,5,,1
Improvement of Rural Development Policy,Lack of coordination between the different level of administrations,Undirected,6,,1
Using new digital solutions and providing distributed services.,3.0 Inadequate public services or difficult access to the district,Undirected,7,,3
Using new digital solutions and providing distributed services.,2.92 Migration to city or district center,Undirected,8,,2.92
Using new digital solutions and providing distributed services.,2.83 Difficulty of access to the healthcare services in villages,Undirected,9,,2.83
Using new digital solutions and providing distributed services.,2.75 Dif. Acc. Cultural services,Undirected,10,,2.75
Using new digital solutions and providing distributed services.,2.5 Dif.Acc. Education serv.,Undirected,11,,2.5
Using new digital solutions and providing distributed services.,3.33 Insufficient communication and internet access,Undirected,12,,3.33
Using new digital solutions and providing distributed services.,Lack of coordination between the different level of administrations,Undirected,13,,1
Empowered coordination between local and regional level administrations and institutions,2.69 Changes in Rural development Policies,Undirected,14,,2.69
Empowered coordination between local and regional level administrations and institutions,2.92 Inadequate regional investments,Undirected,15,,2.92
Empowered coordination between local and regional level administrations and institutions,2.92 Migration to city or district center,Undirected,16,,2.92
Empowered coordination between local and regional level administrations and institutions,Lack of coordination between the different level of administrations,Undirected,17,,1
Understanding local needs more detailed,3.17 Aging,Undirected,18,,3.17
Understanding local needs more detailed,2.83 Difficulty of access to the healthcare services in villages,Undirected,19,,2.83
Understanding local needs more detailed,2.75 Dif. Acc. Cultural services,Undirected,20,,2.75
Understanding local needs more detailed,2.5 Dif.Acc. Education serv.,Undirected,21,,2.5
Understanding local needs more detailed,4.0 Lack of sufficient and varied job opportunities,Undirected,22,,4
Understanding local needs more detailed,3.5 Insufficient or infrequent public transport facilities,Undirected,23,,3.5
Understanding local needs more detailed,3.33 Insufficient communication and internet access,Undirected,24,,3.33
Understanding local needs more detailed,1.91 Depletion of natural resources,Undirected,25,,1.91
Understanding local needs more detailed,Lack of coordination between the different level of administrations,Undirected,26,,1
"More participative decision making process with local authorities, stakeholders and citizens",Lack of coordination between the different level of administrations,Undirected,27,,1
